lamb,seed,n_unobs,n_pos,auc
0.015,1,210,6,0.7312091503267973
0.015,2,210,2,0.4903846153846153
0.015,3,210,6,0.9848856209150326
0.015,4,210,7,0.9711470795214636
0.015,5,210,3,0.4855072463768116
0.015,6,210,3,0.9903381642512076
0.015,7,210,5,0.984390243902439
0.015,8,210,7,0.5
0.015,9,210,5,0.6702439024390243
0.015,10,210,7,0.8374384236453203
0.015,11,210,2,0.7451923076923076
0.015,12,210,3,0.6642512077294686
0.015,13,210,3,0.5
0.015,14,210,3,0.5
0.015,15,210,1,0.4736842105263158
0.015,16,210,3,0.8156199677938808
0.015,17,210,5,0.9746341463414634
0.015,18,210,4,0.9781553398058253
0.015,19,210,9,0.9966832504145936
0.015,20,210,3,0.820450885668277
0.015,21,210,4,0.7445388349514563
0.015,22,210,4,0.625
0.015,23,210,1,0.4712918660287081
0.015,24,210,1,0.985645933014354
0.015,25,210,7,0.6368754398311048
0.015,26,210,9,0.8850193477059148
0.015,27,210,4,0.7330097087378641
0.015,28,210,2,0.5
0.015,29,210,3,0.5
0.015,30,210,5,0.9951219512195122
0.015,31,210,2,0.5
0.015,32,210,3,0.6199677938808373
0.015,33,210,4,0.5
0.015,34,210,4,0.8677184466019418
0.015,35,210,2,0.9951923076923076
0.015,36,210,2,0.5
0.015,37,210,4,0.5885922330097088
0.015,38,210,5,0.5814634146341463
0.015,39,210,5,0.764390243902439
0.015,40,210,1,0.9904306220095692
0.015,41,210,2,0.7247596153846152
0.015,42,210,6,0.5
0.015,43,210,6,0.5
0.015,44,210,6,0.7209967320261438
0.015,45,210,3,0.5
0.015,46,210,3,0.6586151368760065
0.015,47,210,7,0.988036593947924
0.015,48,210,6,0.8970588235294118
0.015,49,210,3,0.4975845410628019
0.015,50,210,6,0.5714869281045751
0.0221,1,210,6,0.7438725490196078
0.0221,2,210,4,0.9933252427184466
0.0221,3,210,4,0.9902912621359224
0.0221,4,210,1,0.985645933014354
0.0221,5,210,3,0.5
0.0221,6,210,1,0.4904306220095694
