lamb,nobs,seed,n_unobs,n_pos,auc
0.07,285,1,15,2,1.0
0.07,285,2,15,1,1.0
0.07,285,3,15,1,1.0
0.07,285,4,15,1,1.0
0.07,285,5,15,1,1.0
0.07,285,6,15,1,1.0
0.07,285,7,15,1,0.9642857142857144
0.07,285,8,15,2,1.0
0.07,285,9,15,3,1.0
0.07,285,10,15,2,1.0
0.07,285,11,15,1,1.0
0.07,285,12,15,1,1.0
0.07,285,13,15,3,0.9444444444444444
0.07,285,14,15,2,1.0
0.07,285,15,15,1,0.9642857142857144
0.07,285,16,15,1,0.9642857142857144
0.07,285,17,15,1,1.0
0.07,285,18,15,1,1.0
0.07,285,19,15,1,1.0
0.07,285,20,15,1,1.0
0.07,285,21,15,1,1.0
0.07,285,22,15,1,0.8928571428571429
0.07,285,23,15,1,1.0
0.07,285,24,15,1,0.9285714285714286
0.07,285,25,15,2,1.0
0.07,285,26,15,2,0.9423076923076924
0.07,285,27,15,1,1.0
0.07,285,28,15,1,1.0
0.07,285,29,15,3,0.9444444444444444
0.07,285,30,15,2,0.9230769230769232
0.07,285,31,15,1,1.0
0.07,285,32,15,1,1.0
0.07,285,33,15,1,0.9642857142857144
0.07,285,34,15,1,1.0
0.07,285,35,15,3,1.0
0.07,285,36,15,1,1.0
0.07,285,37,15,1,1.0
0.07,285,38,15,1,1.0
0.07,285,39,15,3,1.0
0.07,285,40,15,1,1.0
0.07,285,41,15,1,0.9285714285714286
0.07,285,42,15,1,1.0
0.07,285,43,15,3,1.0
0.07,285,44,15,1,1.0
0.07,285,45,15,2,1.0
0.07,285,46,15,1,1.0
0.07,285,47,15,5,1.0
0.07,285,48,15,2,1.0
0.07,285,49,15,1,1.0
0.07,285,50,15,3,1.0
0.07,105,1,195,19,0.993122009569378
0.07,105,2,195,16,0.9909217877094972
0.07,105,3,195,10,0.9513513513513514
0.07,105,4,195,8,0.9869652406417112
0.07,105,5,195,12,0.9246357012750456
0.07,105,6,195,23,0.9969666329625884
0.07,105,7,195,5,0.7957894736842106
0.07,105,8,195,10,0.9797297297297296
0.07,105,9,195,18,1.0
0.07,105,10,195,16,0.8060405027932961
0.07,105,11,195,18,0.997489014438167
0.07,105,12,195,5,0.9957894736842106
0.07,105,13,195,26,0.988962221210742
0.07,105,14,195,6,0.6666666666666666
0.07,105,15,195,13,0.991969568892646
0.07,105,16,195,17,0.95522141440846
0.07,105,17,195,19,0.9659090909090908
0.07,105,18,195,26,0.9913518434228492
0.07,105,19,195,7,0.99468085106383
0.07,105,20,195,14,0.9968429360694554
0.07,105,21,195,6,0.8112874779541446
0.07,105,22,195,20,0.9961428571428572
0.07,105,23,195,21,0.9917898193760264
0.07,105,24,195,9,0.98805256869773
0.07,105,25,195,18,0.7871939736346516
0.07,105,26,195,10,0.9808108108108108
0.07,105,27,195,16,0.9793994413407822
0.07,105,28,195,9,0.6344086021505376
0.07,105,29,195,14,0.977900552486188
0.07,105,30,195,4,0.868455497382199
0.07,105,31,195,13,0.9919695688926458
0.07,105,32,195,5,0.99
0.07,105,33,195,16,0.9711941340782122
0.07,105,34,195,9,0.820489844683393
0.07,105,35,195,17,0.9950429610046266
0.07,105,36,195,14,0.9938831886345698
0.07,105,37,195,8,0.93048128342246
0.07,105,38,195,8,0.9883021390374332
0.07,105,39,195,10,0.9945945945945946
0.07,105,40,195,9,0.9910394265232976
0.07,105,41,195,23,0.9920374115267948
0.07,105,42,195,20,0.994
0.07,105,43,195,32,0.9772814417177914
0.07,105,44,195,33,0.9912083800972692
0.07,105,45,195,17,0.9836417713152676
0.07,105,46,195,2,0.7474093264248705
0.07,105,47,195,27,0.9799382716049384
0.07,105,48,195,9,0.7706093189964157
0.07,105,49,195,18,0.9876020087884494
0.07,105,50,195,21,0.9922003284072248
0.07,15,1,285,28,0.5
0.07,15,2,285,28,0.8549888827126182
0.07,15,3,285,22,0.8005530591081921
0.07,15,4,285,10,0.6829090909090909
0.07,15,5,285,16,0.8057620817843866
0.07,15,6,285,31,0.9220218440436884
0.07,15,7,285,5,0.5664285714285714
0.07,15,8,285,14,0.5
0.07,15,9,285,24,0.9988026819923372
0.07,15,10,285,20,0.5
0.07,15,11,285,26,0.792990792990793
0.07,15,12,285,10,0.688
0.07,15,13,285,46,0.8847553210842277
0.07,15,14,285,8,0.654783393501805
0.07,15,15,285,21,0.5
0.07,15,16,285,23,0.6841188184533686
0.07,15,17,285,31,0.7656845313690628
0.07,15,18,285,43,0.859696329040938
0.07,15,19,285,9,0.8804347826086956
0.07,15,20,285,17,0.5
0.07,15,21,285,9,0.5
0.07,15,22,285,25,0.990923076923077
0.07,15,23,285,27,0.8926213034740168
0.07,15,24,285,14,0.5
0.07,15,25,285,27,0.8516365202411713
0.07,15,26,285,16,0.5
0.07,15,27,285,26,0.5
0.07,15,28,285,16,0.5
0.07,15,29,285,22,0.5
0.07,15,30,285,6,0.9071087216248508
0.07,15,31,285,18,0.6007074490220559
0.07,15,32,285,10,0.5
0.07,15,33,285,20,0.8202830188679245
0.07,15,34,285,13,0.8798076923076923
0.07,15,35,285,21,0.7724567099567098
0.07,15,36,285,22,0.7692706533010716
0.07,15,37,285,8,0.9359205776173284
0.07,15,38,285,11,0.5
0.07,15,39,285,17,0.5
0.07,15,40,285,14,0.5839483394833949
0.07,15,41,285,39,0.9212007504690432
0.07,15,42,285,34,0.7423834075462854
0.07,15,43,285,45,0.7431018518518517
0.07,15,44,285,47,0.7616663686751297
0.07,15,45,285,26,0.854915354915355
0.07,15,46,285,3,0.5
0.07,15,47,285,45,0.6749537037037037
0.07,15,48,285,13,0.8423359728506786
0.07,15,49,285,23,0.6626286093594423
0.07,15,50,285,31,0.9651384302768606
0.07,135,1,165,16,0.9928691275167784
0.07,135,2,165,15,0.9957777777777778
0.07,135,3,165,14,0.977294228949858
0.07,135,4,165,7,0.9886980108499096
0.07,135,5,165,9,0.9786324786324788
0.07,135,6,165,16,0.9981124161073824
0.07,135,7,165,4,0.75
0.07,135,8,165,6,0.989517819706499
0.07,135,9,165,14,0.998817407757805
0.07,135,10,165,8,0.9932324840764332
0.07,135,11,165,16,0.9945469798657718
0.07,135,12,165,8,0.6827229299363058
0.07,135,13,165,29,0.9921399594320488
0.07,135,14,165,6,0.9905660377358492
0.07,135,15,165,11,0.8943329397874853
0.07,135,16,165,16,0.9729446308724832
0.07,135,17,165,17,0.9797297297297296
0.07,135,18,165,28,0.990354535974974
0.07,135,19,165,4,0.9953416149068324
0.07,135,20,165,10,0.9870967741935484
0.07,135,21,165,6,0.9968553459119496
0.07,135,22,165,19,0.9974765681326604
0.07,135,23,165,18,0.9897959183673468
0.07,135,24,165,7,0.9990958408679927
0.07,135,25,165,15,0.978
0.07,135,26,165,9,0.9675925925925926
0.07,135,27,165,13,0.9959514170040484
0.07,135,28,165,11,0.9663518299881936
0.07,135,29,165,10,0.9883870967741936
0.07,135,30,165,4,0.9883540372670808
0.07,135,31,165,12,0.9945533769063182
0.07,135,32,165,7,0.705244122965642
0.07,135,33,165,11,0.9645808736717828
0.07,135,34,165,8,0.9968152866242038
