lamb,seed,n_unobs,n_pos,auc,scdc_conv
0.0221,1,210,5,0.8282899366643209,true
0.0221,2,210,11,0.7230273752012882,true
0.0221,3,210,9,0.4863123993558776,true
0.0221,4,210,5,0.975,false
0.0221,5,210,14,0.9941463414634146,false
0.0221,6,210,35,1.0,true
0.0221,7,210,44,0.8799019607843137,false
0.0221,8,210,44,0.9723604201216142,false
0.0221,9,210,142,0.7989949748743719,true
0.0221,10,210,32,0.8052884615384616,true
0.0221,11,210,39,0.9788881069669247,false
0.0221,12,210,13,0.8737864077669902,true
0.0221,13,210,11,0.8936585365853659,true
0.0221,14,210,14,0.8076599326599326,true
0.0221,15,210,83,0.7713365539452496,true
0.0221,16,210,9,0.21052631578947367,false
0.0221,17,210,130,0.6731078904991948,true
0.0221,18,210,1,0.9694041867954911,true
0.0221,19,210,51,0.994281045751634,false
0.0221,20,210,17,0.5449029126213593,true
0.0221,21,210,28,0.5242718446601942,false
0.0221,22,210,93,0.8966346153846154,true
0.0221,23,210,6,0.7475961538461539,false
0.0221,24,210,5,0.8883495145631068,false
0.0221,25,210,35,0.4951923076923077,false
0.0221,26,210,18,0.8557692307692307,true
0.0221,27,210,8,0.18028846153846154,true
0.0221,28,210,10,0.9420289855072463,true
0.0221,29,210,47,0.42788461538461536,true
0.0221,30,210,7,0.845873786407767,true
0.0221,31,210,42,0.5024154589371981,true
0.0221,32,210,13,1.0,false
0.0221,33,210,32,1.0,true
0.0221,34,210,2,0.7475961538461539,true
0.0221,35,210,9,0.8918269230769231,true
0.0221,36,210,97,0.8971807628524047,true
0.0221,37,210,91,0.9902912621359223,true
0.0221,38,210,6,0.22355769230769232,true
0.0221,39,210,5,0.9866504854368932,false
0.0221,40,210,9,0.9901960784313726,true
0.0221,41,210,139,0.6019512195121951,false
0.0221,42,210,17,0.9182692307692307,true
0.0221,43,210,73,0.981,false
0.0221,44,210,7,0.9878640776699029,true
0.0221,45,210,25,0.855072463768116,true
0.0221,46,210,16,0.8570261437908496,true
0.0221,47,210,15,0.8118932038834952,true
0.0221,48,210,11,0.7754854368932039,true
0.0221,49,210,135,0.9828431372549019,true
0.0221,50,210,93,0.9951219512195122,true
0.0327,1,210,28,0.9926907263590681,true
0.0327,2,210,16,0.8792270531400966,true
0.0327,3,210,23,0.9964813511611541,false
0.0327,4,0,0,0.9903381642512077,true
0.0327,5,210,88,0.7395121951219512,true
0.0327,6,210,47,0.991504854368932,false
0.0327,7,210,72,0.9590850515463918,true
0.0327,8,210,10,0.8033980582524272,true
0.0327,9,210,8,0.9857673267326733,false
0.0327,10,0,0,0.7953924248340491,true
0.0327,11,210,80,0.9746192893401016,true
0.0327,12,0,0,0.951797385620915,true
0.0327,13,210,8,0.9755830903790087,false
0.0327,14,210,62,0.9839108910891089,true
0.0327,15,210,136,0.9971850809289233,true
0.0327,16,210,39,0.8434466019417476,true
0.0327,17,210,47,0.9712918660287081,false
0.0327,18,0,0,0.9936664320900774,false
0.0327,19,210,8,0.9838463882962512,false
0.0327,20,210,9,0.9944720840243229,false
0.0327,21,210,129,0.9927884615384616,false
0.0327,22,0,0,0.7536231884057971,true
0.0327,23,210,114,0.5902439024390244,false
0.0327,24,0,0,0.9235436893203883,true
0.0327,25,210,2,1.0,false
0.0327,26,210,34,0.7616747181964574,true
0.0327,27,210,25,0.9897959183673469,false
0.0327,28,210,93,0.9777227722772277,true
0.0327,29,210,29,0.956368754398311,false
0.0327,30,0,0,0.995777621393385,false
0.0327,31,210,92,0.9902381882077314,false
0.0327,32,210,13,0.9234449760765551,true
0.0327,33,210,6,0.6019512195121951,true
0.0327,34,0,0,0.6602254428341385,true
0.0327,35,210,84,0.984390243902439,true
0.0327,36,210,22,0.9892682926829268,true
0.0327,37,210,13,0.9918300653594772,false
0.0327,38,210,23,0.9690358902181563,false
0.0327,39,210,37,0.9016089108910891,true
0.0327,40,0,0,0.3894230769230769,true
0.0327,41,210,69,0.9759219750076197,false
0.0327,42,210,80,0.9597989949748744,false
0.0327,43,210,15,0.9971850809289233,false
0.0327,44,210,13,0.7765853658536586,true
0.0327,45,210,17,1.0,false
0.0327,46,210,49,0.9861111111111112,true
0.0327,47,210,83,0.9159433531292828,false
0.0327,48,0,0,0.9950980392156863,false
0.0327,49,210,95,0.995777621393385,false
0.0327,50,210,53,0.978,false
0.0483,1,210,49,0.9541182974018795,true
0.0483,2,0,0,0.9641025641025641,true
0.0483,3,210,30,0.824390243902439,true
0.0483,4,0,0,0.9237094563727729,true
0.0483,5,210,149,0.9535337758688013,false
0.0483,6,210,98,0.9370819397993311,false
0.0483,7,0,0,0.9870049504950495,false
0.0483,8,0,0,0.9876237623762376,false
0.0483,9,210,67,0.9863334634908238,false
0.0483,10,0,0,0.871219512195122,true
0.0483,11,210,53,0.9910130718954249,false
0.0483,12,210,12,0.9346341463414635,true
0.0483,13,210,125,0.9418316831683168,false
0.0483,14,0,0,1.0,false
0.0483,15,210,46,0.9839690436705362,true
0.0483,16,210,47,0.8126829268292682,true
0.0483,17,210,14,0.996130458817026,true
0.0483,18,210,18,0.8131067961165048,true
0.0483,19,0,0,0.984390243902439,true
0.0483,20,210,138,0.9919458762886598,true
0.0483,21,210,97,0.9545454545454546,true
0.0483,22,0,0,0.9307317073170732,false
0.0483,23,0,0,0.9931623931623932,false
0.0483,24,210,7,0.9470899470899471,false
0.0483,25,210,11,0.9868942395611094,false
0.0483,26,210,41,0.969059405940594,false
0.0483,27,210,81,0.996345363179534,true
0.0483,28,0,0,0.9913366336633663,false
0.0483,29,210,142,0.8465346534653465,true
0.0483,30,210,8,0.9895,false
0.0483,31,210,53,0.9931930693069307,true
0.0483,32,0,0,0.9989189189189189,true
0.0483,33,210,63,0.9960975609756098,false
0.0483,34,210,73,0.9951219512195122,false
0.0483,35,0,0,1.0,false
0.0483,36,210,18,0.6673170731707317,true
0.0483,37,210,77,1.0,false
0.0483,38,0,0,0.9701967592592593,true
0.0483,39,210,84,0.9967320261437909,false
0.0483,40,0,0,0.977615349474646,false
0.0483,41,210,45,0.9812091503267973,true
0.0483,42,210,28,0.9840109639104614,true
0.0483,43,0,0,0.8445919562670832,true
0.0483,44,0,0,0.9771262886597938,false
0.0483,45,210,149,0.8966778421213045,false
0.0483,46,210,33,0.9988944168048646,false
0.0483,47,0,0,0.9728741237427614,false
0.0483,48,210,58,0.9861516034985423,false
0.0483,49,210,12,0.9374358974358974,true
0.0483,50,0,0,0.9963592233009708,true
0.0713,1,210,42,0.9951219512195122,false
0.0713,2,0,0,0.9966640502354788,false
0.0713,3,210,97,0.9898174157303371,false
0.0713,4,0,0,0.9824287387739165,false
0.0713,5,210,109,0.9909323413159731,false
0.0713,6,210,31,0.9612268518518519,false
0.0713,7,210,38,0.9815,false
0.0713,8,0,0,0.9913202375513933,false
0.0713,9,0,0,0.9755,true
0.0713,10,0,0,0.9848901098901099,false
