lamb,n_obs,seed,n_unobs,n_pos,auc,scdc_conv
0.07,15,1,285,31,0.6403557531962201,true
0.07,45,2,255,24,0.915230683713174,true
0.07,75,3,225,19,0.8026270307639128,true
0.07,105,4,195,19,0.6625454545454545,false
0.07,135,5,165,16,0.8898698884758365,false
0.07,165,6,135,12,0.9431038862077724,false
0.07,195,7,105,15,0.665,false
0.07,225,8,75,9,0.5021085925144966,true
0.07,255,9,45,3,0.9969667943805874,true
0.07,285,10,15,2,0.8007547169811321,true
0.07,165,11,135,14,0.8373923373923374,true
0.07,45,12,255,23,0.692,true
0.07,195,13,105,9,0.9342368564671639,true
0.07,45,14,255,38,0.8073104693140795,true
0.07,225,15,75,5,0.7231240981240982,true
0.07,165,16,135,8,0.7875871224692997,true
0.07,255,17,45,7,0.9118618237236474,true
0.07,45,18,255,23,0.9009225446857582,true
0.07,285,19,15,1,0.9013687600644122,true
0.07,45,20,255,10,0.7377085162423178,true
0.07,165,21,135,3,0.6614331723027376,true
0.07,225,22,75,6,0.9864615384615385,false
0.07,75,23,225,19,0.9510479471719782,true
0.07,45,24,255,26,0.2907221929362151,true
0.07,255,25,45,1,0.9046798736721218,true
0.07,165,26,135,8,0.6879646840148699,true
0.07,75,27,225,41,0.7972972972972973,true
0.07,285,28,15,1,0.42611524163568776,true
0.07,225,29,75,4,0.7329761493259592,true
0.07,45,30,255,16,0.8614097968936678,true
0.07,195,31,105,7,0.7172284644194756,true
0.07,45,32,255,17,0.4596363636363636,true
0.07,255,33,45,1,0.8952830188679245,false
0.07,105,34,195,18,0.7799773755656109,false
0.07,75,35,225,24,0.8241341991341992,true
0.07,225,36,75,7,0.814552367784307,true
0.07,285,37,15,1,0.8659747292418772,false
0.07,45,38,255,6,0.553085600530856,true
0.07,75,39,225,8,0.8145302897278315,true
0.07,105,40,195,26,0.8168160253031101,false
0.07,255,41,45,2,0.9838440692099228,true
0.07,45,42,255,34,0.8039606280759316,true
0.07,225,43,75,10,0.8293518518518519,true
0.07,45,44,255,36,0.8376542106204183,true
0.07,135,45,165,16,0.91000891000891,true
0.07,285,46,15,1,0.32978723404255317,true
0.07,75,47,225,21,0.7578703703703704,true
0.07,45,48,255,36,0.8563348416289592,true
0.07,255,49,45,4,0.8275804845668768,false
0.07,225,50,75,3,0.9530099060198121,true
0.07,165,1,135,10,0.9832251082251082,false
0.07,105,2,195,19,0.9952972791400739,false
0.07,135,3,165,29,0.7672340425531915,false
0.07,0,4,0,0,0.9629629629629629,false
0.07,285,5,15,1,0.9837889383343928,false
0.07,165,6,135,12,0.999685336689742,false
0.07,255,7,45,1,0.8568,false
0.07,105,8,195,7,0.9186268277177368,false
0.07,75,9,225,11,1.0,true
0.07,0,10,0,0,0.9811715481171548,false
0.07,195,11,105,6,0.9887556221889056,false
0.07,0,12,0,0,0.8260059612518629,true
0.07,75,13,225,17,0.9755032743148193,false
0.07,285,14,15,1,0.6831983805668016,true
