lamb,seed,n_unobs,n_pos,auc,sib_conv
0.015,1,210,6,0.7156862745098039,True
0.015,2,210,2,0.7596153846153846,True
0.015,3,210,6,0.9803921568627452,True
0.015,4,210,7,0.9669247009148486,True
0.015,5,210,3,0.7745571658615137,True
0.015,6,210,3,0.9887278582930756,True
0.015,7,210,5,0.9804878048780488,True
0.015,8,210,7,0.788881069669247,True
0.015,9,210,5,0.6,True
0.015,10,210,7,0.876847290640394,True
0.015,11,210,2,0.8413461538461539,True
0.015,12,210,3,0.6376811594202898,True
0.015,13,210,3,0.6586151368760065,True
0.015,14,210,3,0.3542673107890498,True
0.015,15,210,1,0.1148325358851675,True
0.015,16,210,3,0.9066022544283414,True
0.015,17,210,5,0.9765853658536584,True
0.015,18,210,4,0.9793689320388348,True
0.015,19,210,9,0.982310668877833,True
0.015,20,210,3,0.7971014492753623,True
0.015,21,210,4,0.8622572815533982,True
0.015,22,210,4,0.4635922330097087,True
0.015,23,210,1,0.8133971291866029,True
0.015,24,210,1,0.9904306220095692,True
0.015,25,210,7,0.8240675580577058,True
0.015,26,210,9,0.9314538419016032,True
0.015,27,210,4,0.883495145631068,True
0.015,28,210,2,0.3653846153846154,True
0.015,29,210,3,0.7214170692431562,True
0.015,30,210,5,0.9980487804878048,True
0.015,31,210,2,0.2572115384615384,True
0.015,32,210,3,0.8438003220611916,True
0.015,33,210,4,0.6741504854368933,True
0.015,34,210,4,0.8968446601941747,True
0.015,35,210,2,0.9951923076923076,True
0.015,36,210,2,0.2331730769230769,True
0.015,37,210,4,0.4453883495145631,True
0.015,38,210,5,0.7600000000000001,True
0.015,39,210,5,0.751219512195122,True
0.015,40,210,1,1.0,True
0.015,41,210,2,0.5745192307692307,True
0.015,42,210,6,0.6642156862745098,True
0.015,43,210,6,0.8602941176470589,True
0.015,44,210,6,0.7900326797385621,True
0.015,45,210,3,0.5201288244766505,True
0.015,46,210,3,0.6360708534621579,True
0.015,47,210,7,0.9950738916256158,True
0.015,48,210,6,0.8709150326797386,True
0.015,49,210,3,0.3429951690821256,True
0.015,50,210,6,0.4276960784313725,True
0.0221,1,210,6,0.7107843137254902,True
0.0221,2,210,4,0.9927184466019418,True
0.0221,3,210,4,0.9987864077669902,True
0.0221,4,210,1,0.9952153110047848,True
0.0221,5,210,3,0.713365539452496,True
0.0221,6,210,1,0.0669856459330143,True
0.0221,7,210,8,0.9288366336633664,True
0.0221,8,210,1,0.0287081339712919,True
0.0221,9,210,4,0.7378640776699029,True
0.0221,10,210,4,0.808252427184466,True
0.0221,11,210,8,0.9956683168316832,True
0.0221,12,210,10,0.9835,True
0.0221,13,210,4,0.2548543689320388,True
0.0221,14,210,3,0.9790660225442832,True
0.0221,15,210,2,0.8413461538461539,True
0.0221,16,210,5,0.9892682926829268,True
0.0221,17,210,3,0.7809983896940418,True
0.0221,18,210,5,0.9609756097560976,True
0.0221,19,210,4,0.3155339805825243,True
0.0221,20,210,3,0.7809983896940419,True
0.0221,21,210,2,0.5697115384615384,True
0.0221,22,210,9,0.9817578772802652,True
0.0221,23,210,3,0.9887278582930756,True
0.0221,24,210,3,0.9500805152979068,True
0.0221,25,210,3,0.8019323671497585,True
