lamb,nobs,seed,n_unobs,n_pos,auc,sib_conv
0.07,285,1,15,2,1.0,True
0.07,285,2,15,1,1.0,True
0.07,285,3,15,1,1.0,True
0.07,285,4,15,1,1.0,True
0.07,285,5,15,1,1.0,True
0.07,285,6,15,1,1.0,False
0.07,285,7,15,1,1.0,True
0.07,285,8,15,2,1.0,True
0.07,285,9,15,3,1.0,True
0.07,285,10,15,2,1.0,True
0.07,285,11,15,1,1.0,False
0.07,285,12,15,1,1.0,True
0.07,285,13,15,3,0.9444444444444444,True
0.07,285,14,15,2,1.0,True
0.07,285,15,15,1,1.0,True
0.07,285,16,15,1,1.0,False
0.07,285,17,15,1,1.0,True
0.07,285,18,15,1,1.0,True
0.07,285,19,15,1,1.0,True
0.07,285,20,15,1,1.0,True
0.07,285,21,15,1,1.0,True
0.07,285,22,15,1,0.9285714285714284,True
0.07,285,23,15,1,1.0,True
0.07,285,24,15,1,0.9285714285714284,True
0.07,285,25,15,2,1.0,True
0.07,285,26,15,2,1.0,True
0.07,285,27,15,1,1.0,False
0.07,285,28,15,1,1.0,True
0.07,285,29,15,3,0.9444444444444444,True
0.07,285,30,15,2,0.9230769230769232,True
0.07,285,31,15,1,1.0,True
0.07,285,32,15,1,1.0,True
0.07,285,33,15,1,1.0,True
0.07,285,34,15,1,1.0,True
0.07,285,35,15,3,1.0,True
0.07,285,36,15,1,1.0,True
0.07,285,37,15,1,1.0,True
0.07,285,38,15,1,1.0,True
0.07,285,39,15,3,1.0,True
0.07,285,40,15,1,1.0,True
0.07,285,41,15,1,0.9285714285714284,False
0.07,285,42,15,1,1.0,True
0.07,285,43,15,3,1.0,False
0.07,285,44,15,1,1.0,True
0.07,285,45,15,2,1.0,False
0.07,285,46,15,1,1.0,True
0.07,285,47,15,5,1.0,False
0.07,285,48,15,2,1.0,True
0.07,285,49,15,1,1.0,True
0.07,285,50,15,3,1.0,False
0.07,105,1,195,19,0.999401913875598,True
0.07,105,2,195,16,0.9940642458100558,True
0.07,105,3,195,10,0.962162162162162,True
0.07,105,4,195,8,0.9879679144385028,True
0.07,105,5,195,12,0.9681238615664846,True
0.07,105,6,195,23,0.9992416582406471,False
0.07,105,7,195,5,0.7842105263157895,True
0.07,105,8,195,10,0.9654054054054054,False
0.07,105,9,195,18,0.9993722536095416,True
0.07,105,10,195,16,0.9800977653631284,True
0.07,105,11,195,18,0.997489014438167,False
0.07,105,12,195,5,0.9926315789473684,True
0.07,105,13,195,26,0.9911242603550297,True
0.07,105,14,195,6,0.689594356261023,True
0.07,105,15,195,13,0.9894336432797972,True
0.07,105,16,195,17,0.9562128222075348,False
0.07,105,17,195,19,0.9973086124401914,True
0.07,105,18,195,26,1.0,True
0.07,105,19,195,7,0.9992401215805472,False
0.07,105,20,195,14,0.9964483030781374,False
0.07,105,21,195,6,0.976190476190476,True
0.07,105,22,195,20,0.9982857142857144,True
0.07,105,23,195,21,0.9917898193760262,True
0.07,105,24,195,9,0.990442054958184,True
0.07,105,25,195,18,0.9686126804770872,True
0.07,105,26,195,10,0.9789189189189188,True
0.07,105,27,195,16,0.9877793296089384,False
0.07,105,28,195,9,0.930704898446834,True
0.07,105,29,195,14,0.9857932123125492,True
0.07,105,30,195,4,0.8763089005235601,True
0.07,105,31,195,13,0.9974640743871512,True
0.07,105,32,195,5,0.9978947368421052,True
0.07,105,33,195,16,0.981145251396648,True
0.07,105,34,195,9,0.9731182795698924,True
0.07,105,35,195,17,1.0,True
0.07,105,36,195,14,0.9984214680347276,True
0.07,105,37,195,8,0.9872994652406416,True
0.07,105,38,195,8,0.9879679144385028,True
0.07,105,39,195,10,0.9929729729729728,True
0.07,105,40,195,9,0.9910394265232976,False
0.07,105,41,195,23,0.9921638018200202,False
0.07,105,42,195,20,0.994,True
0.07,105,43,195,32,0.9860046012269938,False
0.07,105,44,195,33,0.9878413767302656,True
0.07,105,45,195,17,0.990085922009253,False
0.07,105,46,195,2,0.9805699481865284,True
0.07,105,47,195,27,0.9845679012345678,False
0.07,105,48,195,9,0.9850657108721624,True
0.07,105,49,195,18,0.9959196484620212,True
0.07,105,50,195,21,0.9865900383141762,False
0.07,15,1,285,28,0.6427181767648693,True
0.07,15,2,285,28,0.9187048360200112,True
0.07,15,3,285,22,0.8083304528171449,True
0.07,15,4,285,10,0.6534545454545455,True
0.07,15,5,285,16,0.8859200743494424,True
0.07,15,6,285,31,0.9483108966217932,True
0.07,15,7,285,5,0.6571428571428571,True
0.07,15,8,285,14,0.5050079072219293,True
0.07,15,9,285,24,0.9979246487867176,True
0.07,15,10,285,20,0.8150943396226414,True
0.07,15,11,285,26,0.8431838431838432,True
0.07,15,12,285,10,0.6843636363636364,True
0.07,15,13,285,46,0.9406949245042752,True
0.07,15,14,285,8,0.7802346570397112,True
0.07,15,15,285,21,0.727092352092352,True
0.07,15,16,285,23,0.795552605376701,True
0.07,15,17,285,31,0.912242824485649,True
0.07,15,18,285,43,0.9017874303286566,True
0.07,15,19,285,9,0.9009661835748792,True
0.07,15,20,285,17,0.7429762949956101,True
0.07,15,21,285,9,0.6582125603864734,True
0.07,15,22,285,25,0.9604615384615384,True
0.07,15,23,285,27,0.9530577088716624,True
0.07,15,24,285,14,0.2975751186083289,True
0.07,15,25,285,27,0.8977892621303474,True
0.07,15,26,285,16,0.6800650557620818,True
0.07,15,27,285,26,0.8056133056133057,True
0.07,15,28,285,16,0.4175185873605948,True
0.07,15,29,285,22,0.7353957829243001,True
0.07,15,30,285,6,0.8745519713261649,True
0.07,15,31,285,18,0.7068248023304203,True
0.07,15,32,285,10,0.4589090909090909,True
0.07,15,33,285,20,0.8883018867924528,True
0.07,15,34,285,13,0.7796945701357466,True
0.07,15,35,285,21,0.8452380952380953,True
0.07,15,36,285,22,0.8052194953335637,True
0.07,15,37,285,8,0.8689079422382671,True
0.07,15,38,285,11,0.5447909754479098,True
0.07,15,39,285,17,0.819468832309043,True
0.07,15,40,285,14,0.8017923036373221,True
0.07,15,41,285,39,0.9849906191369606,True
0.07,15,42,285,34,0.7979845324584017,True
0.07,15,43,285,45,0.8373148148148148,True
0.07,15,44,285,47,0.8401573395315574,True
0.07,15,45,285,26,0.9125334125334126,True
0.07,15,46,285,3,0.3362884160756502,True
0.07,15,47,285,45,0.7739814814814815,True
0.07,15,48,285,13,0.8529411764705883,True
0.07,15,49,285,23,0.8300696979754397,True
0.07,15,50,285,31,0.9554229108458216,True
0.07,135,1,165,16,0.9966442953020136,True
0.07,135,2,165,15,0.9942222222222225,True
0.07,135,3,165,14,0.9754020813623464,True
0.07,135,4,165,7,0.9954792043399638,True
0.07,135,5,165,9,0.9907407407407408,False
0.07,135,6,165,16,0.9987416107382552,False
0.07,135,7,165,4,0.7919254658385093,True
0.07,135,8,165,6,0.9916142557651992,False
