node,obs_st,time
43,0,21
110,0,21
122,1,21
125,1,21
130,0,21
175,1,21
178,1,21
195,0,21
271,0,21
293,1,21
294,0,21
376,0,21
380,0,21
399,1,21
416,1,21
542,1,21
578,0,21
620,0,21
655,1,21
661,1,21
686,0,21
697,1,21
726,1,21
754,1,21
812,0,21
830,1,21
846,1,21
865,0,21
868,1,21
900,1,21
952,1,21
979,1,21
1004,1,21
1044,0,21
1057,1,21
1081,0,21
1104,0,21
1193,1,21
1207,0,21
1209,1,21
1215,0,21
1268,1,21
1316,1,21
1340,1,21
1361,1,21
1377,1,21
1385,1,21
1464,1,21
1484,1,21
1522,1,21
1647,1,21
1710,1,21
1712,0,21
1723,0,21
1724,1,21
1758,1,21
1772,1,21
1782,0,21
1822,0,21
1976,1,21
